job_category_id,company_id,approval_by_admin,comment_on_not_approved,employment_type,title,description,location_id,created_at,updated_at
14,1,TRUE,null,Full Time,"Associate, Securities & Fiduciary Services Operations","Business Function - Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capabilityand innovation. In Group T&O, we managethe majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Key Accountabilities Timeliness. To ensure that all Corporate Announcements & processing are done within 24 hours of receipt of announcements or proceeds. Accuracy. To ensure at least 99% accuracy Responsive.To ensure that all clients queries are responded to within 24 hours of receipt of query or if not to provide interim reply and to follow with a response within 3 days. Risk. To ensure that there are no critical audit findings / issues and to escalate any immediate and time critical issues to higher authorities. People. To participate in staff surveys, attend training when nominated and be crossed trained in other areas of work within the section or across sections in order to become a well-trained leave cover. To be a good team player. Responsibilities Check and ensure that all corporate action events are processed correctly and promptly. Ensure prompt notification to clients on voluntary corporate action events such as rights, dividend with options, expiry of warrants, redemption, etc. Check that clients instructions are executed accordingly. Ensure that clients entitlements are protected. Handle clients enquiries and provide timely responses. Maintain high standard of service quality. Perform a dual maker/checker role. Requirements Degree holder with minimum 2-5years working experience in Corporate Actions. Knowledge of SWIFT. Proficient in Microsoft. Responsive, detailed and strive for accuracy. Good communication skills and a good team player",2,2023-08-29 16:48:58.494 +0800,2023-08-29 16:48:58.494 +0800
14,1,TRUE,null,Full Time,"SVP, Financial Planning, Analysis & Performance Management, Regional Bancassurance, Consumer Banking Group","Business Function. As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. Our financial solutions are not only the best in the business. they were made just right for you. Insurance is a key customer need and an important revenue driver for DBS. DBS is a top provider of this need in Singapore & in other countries. In order to continue to lead in this space, DBS will need to constantly innovate, evaluate, and execute in order to stay ahead of our competitors. This role will help DBS analyze and report on revenue drivers related to the Bancassurance business, drive prioritization initiatives as well as highlight financial risks. Responsibilities Analyze and provide insights on Regional Bancassurance results & business drivers. Drive annual Banca business planning, periodic forecast and report against plans. Build out & implement a data driven approach to business decisions and prioritization. Work with insurance partners and across multiple departments to build data sources for detailed partnership analysis. Develop and monitor data quality metrics and ensure business data and reporting needs are met. Evaluate current strategies, propose & drive initiatives to improve bancassurance business. Highlight financial opportunities and risks across the business. Conduct market analyses for insights and trends. Facilitate best practice sharing forums to share best practices across countries. Support insurance partnership & distribution strategy assessment. Develop and present comprehensive presentation material for senior management. Lead the implementation of strategic initiatives and obtain support from multiple stakeholders and strategic insurance partners. Other Ad hoc strategic initiatives. Requirements 8-15 years of experience in or supporting financial services. Experience with financial reporting, systems, project management, planning and business analytics in banking/insurance industry preferred. Insurance product knowledge is preferred. (1) Core competencies Have a get things done mentality; a self-starter who can dissect problem, identify solutions, and drive solutions to completion. Adaptable, analytical thinker who can work both strategically as well as in a hands-on/executional capacity. Intellectual curiosity a must. Impeccable communication skills (written & verbal) including strong presentation skills. Excellent stakeholder management and influencing skills. Demonstrating clarity of thought and ability to form strong relationships with stakeholders. Exceptional organizational skills with the ability to juggle multiple tasks and handle competing priorities. Good banking & insurance product and system knowledge will be a plus. Strong analytical and problem-solving skills. Attention to detail. (2) Technical competencies Analytical and inclination for problem-solving. Advanced presentation and Excel skills, ability to analyze large datasets. Experience with SQL, Python, Java, C++, Qlikview BI tools will be advantageous. Project management.",1,2023-08-29 16:48:58.494 +0800,2023-08-29 16:48:58.494 +0800
14,1,TRUE,null,Full Time,"AVP, Site Reliability Engineer, Consumer Banking Group Technology,Technology & Operations","Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Responsibilities Facilitate/Drive recovery calls for major incidents and coordinate with multiple teams to drive the resolution. Responsible to communicate on major incidents and provide regular update to the stakeholders. Ensure Preventive and detective measures of the applications are identified and implemented. Automation of manual activities/processes for Production teams (automation experience required). Identifies persistent or recurring problems and recommends creative solutions. Great people skills to build and manage performing team. Strong communications skills and collaborate well within global team, ensures proper handoff of incidents and details. Ensure incidents are escalated and facilitated to enable efficient and timely service restorations. Drives Root Cause Analysis with technology partners, post incident resolution and facilitates RCA reviews. Manages the identification and development of monitoring and improvements (process/systemic) to improve the reliability of Production systems. Implements SRE practices in CORE Banking. Automate processes and remove Toils. Build automation and Observability tools to detect, troubleshoot and recover systems faster and improve Production systems reliability and resiliency. Build predictive tools and solutions using Machine Learning capabilities. Make best use of available logs and instrumentation. Requirements. Minimum 12 years of experience and out of which minimum 7+ years of Production Management experience preferably in Banking industry. Managed Open Systems (eco systems) and multi-countries production environment. Good level of command over production Infra; performance monitoring and reporting tools. SRE - Implement Site Reliability Engineering principles regarding performance, reliability, monitoring, alerting in Production environment. Over 7+ years of experience in Incident Management, Change Management, Problem Management. Hands-on experience in Unix/Linux/Shell/Python scripting. Familiar with applications Xcelerate/TBMS systems, Quadient or equivalent statement generation engines, Jboss , MariaDB, EDB Postgres, Java (in Linux operating system), Kafka. Experience in supporting critical applications using API driven cloud native technologies (e.g: AWS, PCF, OpenShift, or Kubernetes). Good knowledge in Java & Spring boot and Python. Good working experience in Elasticsearch, Logstash, Grafana/Kibana, Appdynamics etc. Production automation. Automation of manual activities/processes for Production teams (automation experience required). Good knowledge of Machine Learning Algorithms like Regression, Classification, Decision Tree, Random Forest, Bagging & Boosting Techniques like XGBoost. Good Communication skill, Positive work attitude and self-motivated can work independently as well as in a team. Good experience in running automation and improvements experience.",1,2023-08-29 16:48:58.494 +0800,2023-08-29 16:48:58.494 +0800
14,2,TRUE,null,Part Time,Teller,"How it works. You do not need experience to start strong. After 4-weeks in-depth training, you will have a solid grasp of our range of branch banking services and processes. Based at one of our 32 island-wide branches, you will shape the customerâ€™s experiences, address their concerns, and provide solutions. Your journey with us does not stop here potential opportunities await. After proving yourself, move into roles such as a Service Manager, Digital Ambassador or even Customer Service Manager. What you do. You will be an expert at our over-the-counter services and transactions: cash management, account opening and closure, balancing of cash, cheques, and remittance handling. You will process customer transaction accurately and efficiently. Assist customers and providing guidance to them to resolve any banking-related issues in a timely and professional manner. You proactively recommend self-service and automated banking channel services to the customers to ensure our counters attend to the more complex queries. You keep our customers safe by looking out for any suspicious transactions and reporting it to relevant parties and performing our banking activities in accordance with regulatory requirements. Who you are. You are a motivated individual with a passion for customer service and a desire to grow your career in the banking industry: Preferably 1-2 years experience in customer service. Excellence interpersonal, communication and listening skills in English and another language. Local dialect would be advantageous as you interact with customers from all walks of life. Ability to demonstrate care and empathy in understanding the customers needs and going the extra mile to help. Ability to handle difficult customers tactfully and defuse hostility, and exercise judgement to escalate cases to relevant parties if required. Detailed oriented and meticulous. Digital literacy including proficiency with online banking, mobile banking and other digital banking tools. Proficient in Microsoft Office suite such as words and excel. Ability to multi-task and manage time effectively. Ability to handle confidential information with discretion.",6,2023-08-29 16:48:58.494 +0800,2023-08-29 16:48:58.494 +0800
14,2,TRUE,null,Full Time,"VP / ED Senior Developer (Mobile), Team Lead","Description - External. As an engineer Lead in OCBC, you will be leading multiple teams, building applications that work at scale to support various banking products, services, and also enable development workflows. We are looking for a full-stack developer lead who can build APIs, front-ends, back-ends, and tools that interact with other bank services. You will be part of every stage of development, from concept to deployment. If you're passionate about the fintech, want to be part of a group that works on new products, have the opportunity to shape them, and enjoy crafting robust, scalable, and maintainable services, we may be the team for you! Description: Develop and maintain highly reliable and scalable services and applications. Create automation that works on Windows, macOS and Linux servers. Build APIs and UIs that are simple and powerful. Understand product requirements, engage with team members and customers to define solutions, and estimate the scope of work required. Collaborate with, mentor, and influence members within your team and across other teams in OCBC. Deliver solutions that can keep up with a rapidly evolving product in a timely fashion. Qualifications. Solid Java development experience. Experience with at least one other programming language (C#, Kotlin, Golang). Knowledge in Microservices, Functions, Event-driven/reactive programming or other Cloud Native architectures. Experience designing, building, and maintaining RESTful APIs.Experience with Cloud Native Platforms including Kubernetes, Open Shift, Docker Enterprise, or Cloud Foundry in the public cloud. Experience with JavaScript and one or more front-end frameworks such as React or AngularJS. Mobile app development experience is preferred Expertise in building highly available production services, including deployment automation, infrastructure-as-code, monitoring, and scaling. Good understanding of containers, build systems, and infrastructure automation.Experience with DevOps and Agile engineering practices",1,2023-08-29 16:48:58.494 +0800,2023-08-29 16:48:58.494 +0800
14,2,TRUE,null,Full Time,(AVP / VP) Valuation Control Senior Analyst,"Job Description: The Valuation Control (VC) team is part of the Treasury Financial Control & Advisory department (TFCA), which falls under the Group Finance Division in the Bank. The VC team is an independent control unit who looks after the valuation of financial instruments and applies valuation adjustments when there are valuation deficiencies. The successful candidate will be joining the VC team mainly to identify, formulate and implement new valuation adjustments methodologies to support new businesses and new products. The individual will work closely with Front Office, Market Risk and Product Control teams on valuation, model and market data related issues. Key Responsibilities. Identify potential valuation issues in new product approval process and recommend valuation adjustments where appropriate. Formulate and implement new valuation adjustments methodologies. Perform independent price testing. Calculate monthly valuation adjustments to ensure that financial instruments are correctly fair valued in accordance with applicable accounting standards and regulatory requirements. Participate in system testing and regulatory driven initiatives such as CVA. Work closely with product controllers, market risk department and front office to identify and resolve valuation related issues. Qualifications - External. Requirements University degree in finance, mathematics or other engineering disciplines is preferred. Strong financial product knowledge. Good understanding of common valuation techniques, market data inputs and pricing models. Team player. Able to manage time and work priorities.",1,2023-08-29 16:48:58.494 +0800,2023-08-29 16:48:58.494 +0800
23,3,TRUE,null,Full Time,"Executive / Senior Executive, Group Compliance","Responsibilities. Assist in the execution and administration of regulatory compliance monitoring program. Keep abreast of regulatory changes and industry practices and support the assessment of the potential commercial and/or operational impact. Disseminate, review and advise on consultation papers and new/revised regulations, including collating feedback from relevant stakeholders. Assist in formulating and tailor compliance policies and procedures to align with new business / operational needs, regulatory developments and/or industry practice. Review completed compliance assessment return and prepare periodic compliance related reporting documents. Assist in the delivery of the compliance related training programmes. Interact with auditors on regulatory compliance matters. Assist in cooperation with and responding to regulatory inquiries, surveys, consultations and examinations. This may include coordination with various internal business partners and other stakeholders. Requirements. Bachelor Degree in Accountancy, Finance, Business or related discipline. At least 2 years of relevant working experience in asset management industry or international public accounting firm or outsourced accounting services industry with experience specialising in funds/financial services industry. Strong attention to detail. Possesses strong analytical skills, problem solving skills and excellent communication skills. Resourceful, hands-on and committed to deliver results. Able to prioritize and respond well to changing circumstances and tight timelines. An independently minded person who thrives in a team-based environment. Benefits - Flexible benefits with comprehensive medical coverage for self and family. Training and development opportunities Subsidised rates at Ascott serviced residences. Strong advocate of staff volunteerism. Wellness programmes",1,2023-08-29 16:48:58.494 +0800,2023-08-29 16:48:58.494 +0800
14,3,TRUE,null,Contract,"Executive / Senior Executive, Finance Shared Services - AR (1-year contract)","Responsibilities. Review and approve billing requests and billing cancellations, lease billing and accounting, generate credit /debit notes and manage Accounts Receivable invoice disputes. Review and finalise period end closing activities and communicate with other teams. Review intercompany transactions. Escalate issues to supervisor to avoid delays in processing. Review and approve processing of all modes of collections, refunds, debtors' reconciliations and confirmations. Review and finalise Accounts Receivable aging report Review and approve closing and reconciliation processes and audit schedules related to Accounts Receivable. Review intercompany settlements Attend to ad hoc customer queries on invoices. Participate in any other tasks/projects as assigned. Requirements. Degree in Accountancy or ACCA or equivalent. At least 5 years of relevant working experience in computerised accounting environment (supervisory/reviewing experience is an advantage). Knowledge of Microsoft Excel and SAP Integrity and accounting professionalism. A resourceful, analytical and self-motivated mindset. Benefits. Comprehensive medical coverage for self. Training and development opportunities. Subsidised rates at Ascott serviced residences. Strong advocate of staff volunteerism. Wellness programmes",3,2023-08-29 16:48:58.494 +0800,2023-08-29 16:48:58.494 +0800
20,3,TRUE,null,Full Time,"Executive / Senior Executive, IT Audit","Job Description. As part of a team who contributes to the ongoing effectiveness of the Group, you will conduct operational and IT audit of the companies within the Group. These include process documentation, risk identification and assessment, evaluation of the adequacy and effectiveness of internal controls and ensuring compliance with established Group policies and procedures. You will be asked to interpret audit results, develop value-adding recommendations to mitigate the risks and prepare audit reports. You will also research into new audit techniques and contribute to continuing plans to enhance the effectiveness of internal controls in the Group. Requirements. Degree in Information Systems/ Data Science/ Engineering or equivalent professional qualification.CIA / CISA/ CISM relevant certification in the discipline will be an added advantage Exposure to hospitality, residential, commercial, business parks, urban developments or retail business audits is preferred. At least 2 years of audit experience in a large organization or an international public accounting firm (Candidates with more than 4 years of relevant internal audit experience may be considered for the Senior Executive role). Candidates with experience in other disciplines (e.g. engineering, data, legal) with relevant finance/quality/audit background and with the right attitude are welcomed to apply. Effective self-starter who excels in a lean and fast-paced organization. Innovative spirit, strong problem-solving aptitude and analytical skills. Good knowledge and understanding of corporate governance, regulatory compliance and familiarity with organizational best practices. Proficiency in Python, SQL and data analytics related coding experience will be an added advantage. Proficiency in written and spoken Mandarin (to communicate with our China offices). Knowledge of other languages will be an added advantage. Willing to travel overseas for work. Benefits.Flexible benefits with comprehensive medical coverage for self. Training and development opportunities Subsidised rates at Ascott serviced residences.Strong advocate of staff volunteerism. Wellness programmes",1,2023-08-29 16:48:58.494 +0800,2023-08-29 16:48:58.494 +0800
15,4,TRUE,null,Full Time,Senior Executive (Food Research & Development),"JOB RESPONSIBILITIES. Assist Team Lead in any activities related to product analysis, product / process / packaging development and regulatory requirements. Work with research team, counter parts, traders, cross functional teams, suppliers, laboratories or factories on new product / packaging development for international markets from conceptualization, performs tests on food ingredients and product prototypes, to industrialisation. This includes literature search, market research, selection of ingredients, formulation, costing, process and packaging development, analytical testing for compliance. Able to work independently in a food science laboratory and possesses analytical and problem-solving skills. Ensure all product creations comply with customer, government and legal regulatory requirements within the country of use. Ensure timely documentations of formulae, product and packaging specifications, sensory evaluation, nutritional information and any other document related to product / packaging development. Extend the application of the product(s) developed through recipes creation and sensory evaluation. Send newly developed products for nutritional, microbiological analysis and other necessary tests such as gluten, aflatoxin, GMO, Sudan Red, 3-MCPD, etc to meet specific market requirements. Support Sales / Marketing / Business Unit / Management in Trade events / exhibitions / product presentation and market study by preparing recipes and products. Provide training and technical support to Sales / Marketing / Business Unit in new product development and new product launches. Any other duties or ad hoc projects as assigned by direct supervisor. JOB REQUIREMENTS. Bachelor degree in Food Science / Food Technology or equivalent. At least 5 years of relevant RnD working experience in rice, shelf stable spice paste / sauce and condiments. Knowledge in HACCP, GMP and other food safety regulations are required. Knowledge and experience in retort processing would be an advantage. Proven track record on product innovation and commercialization with an in-depth knowledge for conceptualization to technology transfer in the production scale.Good knowledge of additives is required. Good interpersonal skills, work ethic, creative, meticulous, flexible and positive thinking. A good team player who has passion in food and health. Ability to handle multiple projects and work independently. Must be proficient in Microsoft Office.",5,2023-08-29 16:48:58.494 +0800,2023-08-29 16:48:58.494 +0800
15,4,TRUE,null,Full Time,Assistant Research Officer,"Job Responsibilities: Perform enzymatic assays to evaluate the enzyme activity. Performing routine molecular cloning, PCR, plasmid construction. Evaluate the use of enzymes in food or production of oleochemicals Active discussion on the project work Job Requirements: Bachelor's degree?in Biochemistry, Bioengineering, Biological Sciences or other related fields. Prefer to have 1-2 year experience in Molecular biology or protein engineering work. Good communication skills and a team player. Ability to work independently",5,2023-08-29 16:48:58.494 +0800,2023-08-29 16:48:58.494 +0800
20,4,TRUE,null,Full Time,Senior Business System Analyst,"Provide on-going SAP application technical and functional support primarily in areas of MM and SD. Perform detail systems analysis and provides solutions for system improvements. Able to work with all aspects of SAP RICEF and is expected to help with queries relating to daily operational transactions, reports, interfaces, enhancements, ALE/iDoc, Conversions, forms, Web DynPro etc Work well with team members in areas of SAP application maintenance as well as IT projects. Ensure all developments are audit and security complaint in accordance to IT policies and guidelines. Analyse business information and work independently from requirement gathering workshops to UAT and deployment to production. Design and develop integration solutions for data exchanges with other IT applications across various regions. Communicate and work closely with key business stakeholders on systems and process improvements.",5,2023-08-29 16:48:58.494 +0800,2023-08-29 16:48:58.494 +0800
20,5,TRUE,null,Full Time,Lead Software Engineer,"As a Lead Engineer across our data platform teams, you would be responsible for designing, implementing, rolling out, and evangelizing the next generation of streaming, stream processing, and segmentation platforms at Grab. The Day-to-Day Activities. Own data platforms that are built to meet functional and non-functional requirements of our engineering customers and the business. Design and build APIs, interfaces, and database schemas to ensure scalability, maintainability, and performance across the realtime data services domain. Design, implement, instrument, and deploy highly available services with tight SLAs, and champion for operational excellence across initiatives. Lead Collaboration with stakeholders across teams and roles, to identify and resolve ambiguous, multi dimensional business, legal, and product needs to ensure data platform architectures are not just performant and usable, but also compliant. Work with the engineering team to explore and create new design / architectures geared towards scale and performance. Mentor junior engineers. Participate in interview loops to help Grab continue hiring top industry talent.The Must-Haves. A degree in Computer Science, Software Engineering, Information Technology or related fields. 7+ years of experience in software engineering in a distributed systems environment. Prior experience designing, implementing, and deploying large scale data intensive architectures to production. Strong Computer Science fundamentals in algorithms and data structures Knowledge and expertise in distributed systems design and internals. Possess excellent communication, sharp analytical abilities with proven design skills, able to think critically of the current system in terms of growth and stability.You can be a good coder in any language (C++, C, Java, Scala, Rust, Haskell, OCaml, Erlang, Python, Ruby, PHP, Node.JS, C# etc.), but willing to work on Golang. Experience with any / all of Kafka, Flink, Kubernetes, Spark, ScyllaDB, and / or managed cloud services (specifically, AWS and Azure) is a strong plus.",3,2023-08-29 16:48:58.494 +0800,2023-08-29 16:48:58.494 +0800
20,5,TRUE,null,Full Time,Senior Data Engineer,"Get to know the Role. Data Engineers in Grab get to work on one of the largest and fastest growing datasets of any company in South East Asia. We operate in a challenging, fast paced and ever changing environment that will push you to grow and learn. You will be involved in various areas of Grab Data Ecosystem including reporting & analytics, data infrastructure, and various other data services that are integral parts of Grab overall technical stack. The Day-to-Day Activities. Build, deploy and manage big data tools with solid devops functions. Be able to manage.CI/CD pipelines and terraform as well as cloud infrastructure. Deep understanding of the different data formats and table formats in distributed data processing and data storage: Data Formats: Parquet, Avro, ORC, Arrow. Open Table Formats: Delta Lake, Iceberg, Hudi and Hive. Streamline data access and security to enable data scientists, analysts and backend engineers to easily access data whenever they need to. Developing automation framework using programming languages such as python and automate the big data workflows such as ingestion, aggregation, ETL processing etc. Maintain and optimize the performance of our data analytics infrastructure to ensure accurate, reliable and timely delivery of key insights for decision making. Run Modern high performance analytical databases, with Solid understanding of distributed computing, and be able to build out scalable and reliable ETL pipelines and processes to ingest data from a large number and variety of data sources with high performance analytical databases and computation engines like Spark, Flink, Presto, Synapse, BigQuery, Greenplum and others. Understand most of SQL interface to tabular, relational datasets. Some distributed analytic engines like Trino(formerly Presto), Druid, Clickhouse, Redshift, Snowflake, Synapse, BigQuery, Greenplum (and other tools commonly referred to as data warehouses) integrate proprietary storage services with the analytics engine, creating self-contained data lakes functionality. The Must-Haves. A degree or higher in Computer Science, Electronics or Electrical Engineering, Software Engineering, Information Technology or other related technical disciplines. Designed high performance scalable infrastructure stacks for Big Data Analytics. Write unit, functional and end-to-end tests. Real passion for data, new data technologies, and discovering new and interesting solutions to the company data needs. Excellent communication skills to communicate with the product development engineers to coordinate development of data pipelines, and or any new products features that can be built on top of the results of data analysis. The Nice-to-Haves.Experience in handling large data sets (multiple PBs) and working with structured, unstructured and geographical datasets. Good experience in handling big data within a distributed system and knowledge of SQL in distributed OLAP environments. Knowledgeable on cloud systems like AWS, Azure, or Google Cloud Platform. Familiar with tools within the Hadoop ecosystem, especially Presto and Spark. Good experience with programming languages like Python, Go, Scala, Java, or scripting languages like Bash. Design and implement RESTful APIs, and build, deploy performant modern web applications in React, NodeJS and TypeScript. Deep understanding on databases and best engineering practices - include handling and logging errors, monitoring the system, building human-fault-tolerant pipelines, understanding how to scale up, addressing continuous integration, knowledge of database administration, maintaining data cleaning and ensuring a deterministic pipeline.",3,2023-08-29 16:48:58.494 +0800,2023-08-29 16:48:58.494 +0800
20,5,TRUE,null,Full Time,"Senior Business Analyst, Salesforce Delivery","Get to know the Role. This role plays a critical role of a Salesforce Senior Business Analyst with an exciting journey to enhance our Salesforce platform and improve adoption. The candidate will need a strong techno-functional background in Salesforce (out-of-the-box standard functionality and custom solutions) with proven hands-on experience in Service Cloud, Sales Cloud and Community Cloud modules.The Day-to-Day Activities. A self-starter; with the ability to identify and pursue opportunities without being provided explicit direction. Translates business strategy into technical requirements and IT solutions by developing a deep understanding of the customer and product needs. Shares the product vision and works closely with the Business Owner, Scrum Master to ensure the team delivers value to the business. Demonstrates ability to influence business unit leads to meet project objectives. With agile delivery experience, leading business and functional requirements definition, prioritization/scoping of requirements, perform functional testing on the deliverables. Engage with business stakeholders, gather requirements using various methods such as interviews, workshops, business processes, use cases, wireframes and business workflow analysis, and map them to solutions that leverage Salesforce functionality. Craft business requirement documents, process level, flows, user stories, functional specifications and system design specifications. Ensures traceability between requirements to Features to user stories. Play a critical role in managing the product backlog. Work with the business to understand and prioritize needs while proactively suggesting future enhancements, improvements and drive adoption. Ability to conduct UAT training, create UAT test scripts and run end to end UAT and SIT sessions with cross-team stakeholders in system testing of new functionality or bug fixes. Strong experience in client facing roles and managing stakeholder expectations with good problem solving, analytical skills and good Story-telling skills. Strong knowledge of Salesforce Product features (Sales and Service cloud) and ability to configure and run POC demos with the business. Strong understanding and hands-on experience of Salesforce Out of the box features (Flows, Security model, Shield Encryption, Process Automation, Handling Large Data Migrations, SOQL/SOSL, Reports, Dashboards, Data models and strong configuration), customization skills. Ability to Identify opportunities to leverage the platform in addressing emerging business needs, solving business problems while providing guidance to developers while solutioning. Collaborate with developers on technical architecture and bring deep domain expertise to the team. Ability to identify bottleneck issues in systems/designs and propose appropriate and innovative solutions. Proven experience in implementing large scale Integrations - web services and good understanding of Authentication mechanisms and deployment processes. Excellent verbal and written communication skills, excellent presentation skills, Ability to communicate effectively with different levels within the organization and collaborate with cross-functional business partners and technical teams. Certifications: Certified Salesforce Administrator, Certified Salesforce Advance Administrator, Sales Cloud Certified, Service Cloud Certified, Salesforce Business Analyst. The Must-Haves. Must have at least 6 years of business analysis experience in Salesforce platform. Strong knowledge and experience with configuration (Flows, Security Model, Shield Encryption, Process Automation, Handling Large Data Migrations, SOQL/SOSL, Reports, Dashboards,Data Models, Omni-channel, Out of the box capabilities etc), customization, Implementing Integrations of Salesforce platform, Shield Platform, Lightning Aura/LWC frameworks, Communities, Security aspects of Salesforce applications. Strong business analysis experience in the Salesforce platform. Good understanding of CI/CD platforms like Gitlab, Copado,Jenkins, Ant tool etc.Excellent troubleshooting experience and problem solving with Salesforce ( Lightning components, Flows / Processes, Lightning page performance, SOQL performance, API integrations and so on). Strong business acumen and lead the solution discussions & presentations with business stakeholders and project team. Knowledge of Agile and Scrum Framework. The Nice-to-Haves. Salesforce Certified CPQ Specialist will be an added advantage. Experience working with Marketing Cloud, Pardot and AppExchange (Conga, Adobe Sign).",3,2023-08-29 16:48:58.494 +0800,2023-08-29 16:48:58.494 +0800
14,6,TRUE,null,Full Time,Revenue Assurance Specialist,"Job Description. Review processes, systems, projects relevant to the various revenue streams to evaluate the effectiveness of internal controls with the aim of minimising possible revenue and cost leakage. Understand the entire digital landscape including migration from old stacks to new stacks for various business lines and new digital initiatives driven by the organisation to perform a risk-based-impact assessment and recommend audit coverage for future. Analyse key spends related to revenue-growth-management (eg: promotions, free of cost services etc), identify gaps/wastages (if any) and recommend underlying processes and controls to enhance maturity Advise management with outside-in perspectives on best practices /SOPs/operating models in telecom sector across business lines to support the controls maturity journey in the light of business transformation (B2C, Enterprise consumers, B2B etc). Actively work with the analytics coder to provide business /audit insights to develop, test, rectify and refine analytics on-ground (backend scripts and front-end visualisation) and deploy it on audit engagements to enhance coverage, depth, outcomes and efficiencies in the longer-term. Suggest and partner with the business to enable them to develop the appropriate framework and processes on automated tracking and monitoring of revenue assurance-related issues. Develop and suggest key levers to be included in the roadmap to improve revenue assurance maturity across existing and future business lines to ensure all revenue streams are covered. Define and drive the strategy to detect fraudulent activities Act as a team lead during audit engagements, ensuring that audit project are managed and coordinated effectively. Support the GIA function in various audit and advisory projects beyond Revenue Assurance/telecom sectors, when needed. Job Requirements. Minimum 5 years of relevant work experience in revenue assurance ideally in the telecommunication sector. Possess good business acumen and have an inquiring mind. Meticulous, highly analytical, process-driven self-starter with the ability to work independently and as a team member. Good interpersonal skills, able to work in diverse environment and build good working relationships with business counterparts. Good report-writing and communication skills. Overseas travelling will be required.",5,2023-08-29 16:48:58.494 +0800,2023-08-29 16:48:58.494 +0800
